ID;Country;Download Date;Dataset;Website;Comments
AUS;Australia;07/07/12;NUTTAB 2010;http://www.foodstandards.gov.au/consumerinformation/nuttab2010/;
DEN;Denmark;07/07/12;Danish Food Composition Databank, revision 7;http://www.foodcomp.dk/ ;Saxholt, E., Christensen, A.T., M\xc3\xb8ller, A. Hartkopp, H.B., Hess Ygil, K., Hels, O.H.:\nDepartment of Nutrition, National Food Institute, Technical University of Denmark. 2008
ENG;England;07/07/12;McCance and Widdowson's Composition of Foods (CoF), 2002;http://tna.europarchive.org/20110116113217/http://www.food.gov.uk/science/dietarysurveys/dietsurveys/ ;
SWE;Sweden;07/07/12;The National Food Administration's food database, version 26/01/2012;http://www.slv.se/en-gb/Group1/Food-and-Nutrition/The-Food-Database/ ;
NZD;New Zealand;07/07/12;New Zealand FOODfiles 2010, Version 02;http://www.foodcomposition.co.nz/;
